ID,DATE_KEY,FULL_DATE_KEY,YEAR,DAY_OF_WEEK,IS_HOLIDAY,MONTH_PERSIAN_NAME,DAY_PERSIAN_NAME
1,13950101,1395/01/01,1395,2,1,فروردین,یکشنبه
2,13950102,1395/01/02,1395,3,1,فروردین,دوشنبه
3,13950103,1395/01/03,1395,4,1,فروردین,سه شنبه
4,13950104,1395/01/04,1395,5,1,فروردین,چهارشنبه
5,13950105,1395/01/05,1395,6,0,فروردین,پنجشنبه
6,13950106,1395/01/06,1395,7,1,فروردین,جمعه
7,13950107,1395/01/07,1395,1,0,فروردین,شنبه
8,13950108,1395/01/08,1395,2,0,فروردین,یکشنبه
9,13950109,1395/01/09,1395,3,0,فروردین,دوشنبه
10,13950110,1395/01/10,1395,4,0,فروردین,سه شنبه
11,13950111,1395/01/11,1395,5,0,فروردین,چهارشنبه
12,13950112,1395/01/12,1395,6,1,فروردین,پنجشنبه
13,13950113,1395/01/13,1395,7,1,فروردین,جمعه
14,13950114,1395/01/14,1395,1,0,فروردین,شنبه
15,13950115,1395/01/15,1395,2,0,فروردین,یکشنبه
16,13950116,1395/01/16,1395,3,0,فروردین,دوشنبه
17,13950117,1395/01/17,1395,4,0,فروردین,سه شنبه
18,13950118,1395/01/18,1395,5,0,فروردین,چهارشنبه
19,13950119,1395/01/19,1395,6,0,فروردین,پنجشنبه
20,13950120,1395/01/20,1395,7,1,فروردین,جمعه
21,13950121,1395/01/21,1395,1,0,فروردین,شنبه
22,13950122,1395/01/22,1395,2,0,فروردین,یکشنبه
23,13950123,1395/01/23,1395,3,0,فروردین,دوشنبه
24,13950124,1395/01/24,1395,4,0,فروردین,سه شنبه
25,13950125,1395/01/25,1395,5,0,فروردین,چهارشنبه
26,13950126,1395/01/26,1395,6,0,فروردین,پنجشنبه
27,13950127,1395/01/27,1395,7,1,فروردین,جمعه
28,13950128,1395/01/28,1395,1,0,فروردین,شنبه
29,13950129,1395/01/29,1395,2,0,فروردین,یکشنبه
30,13950130,1395/01/30,1395,3,0,فروردین,دوشنبه
31,13950131,1395/01/31,1395,4,0,فروردین,سه شنبه
32,13950201,1395/02/01,1395,5,0,اردیبهشت,چهارشنبه
33,13950202,1395/02/02,1395,6,1,اردیبهشت,پنجشنبه
34,13950203,1395/02/03,1395,7,1,اردیبهشت,جمعه
35,13950204,1395/02/04,1395,1,0,اردیبهشت,شنبه
36,13950205,1395/02/05,1395,2,0,اردیبهشت,یکشنبه
37,13950206,1395/02/06,1395,3,0,اردیبهشت,دوشنبه
38,13950207,1395/02/07,1395,4,0,اردیبهشت,سه شنبه
39,13950208,1395/02/08,1395,5,0,اردیبهشت,چهارشنبه
40,13950209,1395/02/09,1395,6,0,اردیبهشت,پنجشنبه
41,13950210,1395/02/10,1395,7,1,اردیبهشت,جمعه
42,13950211,1395/02/11,1395,1,0,اردیبهشت,شنبه
43,13950212,1395/02/12,1395,2,0,اردیبهشت,یکشنبه
44,13950213,1395/02/13,1395,3,0,اردیبهشت,دوشنبه
45,13950214,1395/02/14,1395,4,0,اردیبهشت,سه شنبه
46,13950215,1395/02/15,1395,5,0,اردیبهشت,چهارشنبه
47,13950216,1395/02/16,1395,6,1,اردیبهشت,پنجشنبه
48,13950217,1395/02/17,1395,7,1,اردیبهشت,جمعه
49,13950218,1395/02/18,1395,1,0,اردیبهشت,شنبه
50,13950219,1395/02/19,1395,2,0,اردیبهشت,یکشنبه
51,13950220,1395/02/20,1395,3,0,اردیبهشت,دوشنبه
52,13950221,1395/02/21,1395,4,0,اردیبهشت,سه شنبه
53,13950222,1395/02/22,1395,5,0,اردیبهشت,چهارشنبه
54,13950223,1395/02/23,1395,6,0,اردیبهشت,پنجشنبه
55,13950224,1395/02/24,1395,7,1,اردیبهشت,جمعه
56,13950225,1395/02/25,1395,1,0,اردیبهشت,شنبه
57,13950226,1395/02/26,1395,2,0,اردیبهشت,یکشنبه
58,13950227,1395/02/27,1395,3,0,اردیبهشت,دوشنبه
59,13950228,1395/02/28,1395,4,0,اردیبهشت,سه شنبه
60,13950229,1395/02/29,1395,5,0,اردیبهشت,چهارشنبه
61,13950230,1395/02/30,1395,6,0,اردیبهشت,پنجشنبه
62,13950231,1395/02/31,1395,7,1,اردیبهشت,جمعه
63,13950301,1395/03/01,1395,1,0,خرداد,شنبه
64,13950302,1395/03/02,1395,2,1,خرداد,یکشنبه
65,13950303,1395/03/03,1395,3,0,خرداد,دوشنبه
66,13950304,1395/03/04,1395,4,0,خرداد,سه شنبه
67,13950305,1395/03/05,1395,5,0,خرداد,چهارشنبه
68,13950306,1395/03/06,1395,6,0,خرداد,پنجشنبه
69,13950307,1395/03/07,1395,7,1,خرداد,جمعه
70,13950308,1395/03/08,1395,1,0,خرداد,شنبه
71,13950309,1395/03/09,1395,2,0,خرداد,یکشنبه
72,13950310,1395/03/10,1395,3,0,خرداد,دوشنبه
73,13950311,1395/03/11,1395,4,0,خرداد,سه شنبه
74,13950312,1395/03/12,1395,5,0,خرداد,چهارشنبه
75,13950313,1395/03/13,1395,6,0,خرداد,پنجشنبه
76,13950314,1395/03/14,1395,7,1,خرداد,جمعه
77,13950315,1395/03/15,1395,1,1,خرداد,شنبه
78,13950316,1395/03/16,1395,2,0,خرداد,یکشنبه
79,13950317,1395/03/17,1395,3,0,خرداد,دوشنبه
80,13950318,1395/03/18,1395,4,0,خرداد,سه شنبه
81,13950319,1395/03/19,1395,5,0,خرداد,چهارشنبه
82,13950320,1395/03/20,1395,6,0,خرداد,پنجشنبه
83,13950321,1395/03/21,1395,7,1,خرداد,جمعه
84,13950322,1395/03/22,1395,1,0,خرداد,شنبه
85,13950323,1395/03/23,1395,2,0,خرداد,یکشنبه
86,13950324,1395/03/24,1395,3,0,خرداد,دوشنبه
87,13950325,1395/03/25,1395,4,0,خرداد,سه شنبه
88,13950326,1395/03/26,1395,5,0,خرداد,چهارشنبه
89,13950327,1395/03/27,1395,6,0,خرداد,پنجشنبه
90,13950328,1395/03/28,1395,7,1,خرداد,جمعه
91,13950329,1395/03/29,1395,1,0,خرداد,شنبه
92,13950330,1395/03/30,1395,2,0,خرداد,یکشنبه
93,13950331,1395/03/31,1395,3,0,خرداد,دوشنبه
